Gene.symbol	t-score	FoldChange	pvalue	FDR
MMP20	0.6427245	1.015167424	0.523	0.949
MMP21	-0.0399302	0.999006936	0.968	0.998
MMP24OS	0.1564562	1.006992278	0.876	0.991
MMP26	-0.4509469	0.978703389	0.654	0.967
MMP27	-1.1434358	0.964684085	0.258	0.888
MMP28	-1.6126191	0.927673748	0.113	0.8
MMP3	-0.6442593	0.978781888	0.522	0.949
MMP7	-0.835437	0.96912939	0.407	0.923
MMP8	-1.3089688	0.953242744	0.196	0.868
MMP9	-2.3451351	0.619438634	0.0229	0.514
MMRN1	-0.16747	0.969166491	0.868	0.99
MMRN2	-0.5759158	0.981178557	0.567	0.959
MMS19	-0.2226053	0.987169899	0.825	0.984
MN1	0.179794	1.021219478	0.858	0.989
MNAT1	-0.7008925	0.959532103	0.487	0.944
MND1	0.8578459	1.031383635	0.395	0.921
MNDA	1.4663144	1.2808761	0.149	0.841
MNS1	0.0678025	1.002226229	0.946	0.998
MNT	-0.9218873	0.931682332	0.361	0.914
MNX1	-1.1207422	0.94933558	0.268	0.889
MOAP1	-2.1054108	0.859723788	0.0402	0.626
MOB2	0.6094232	1.034406101	0.545	0.952
MOB3C	1.8259729	1.077773246	0.0737	0.733
MOBP	0.2782217	1.007909818	0.782	0.981
MOCOS	0.2800058	1.01163597	0.781	0.981
MOCS1	-1.429281	0.94945475	0.159	0.846
MOCS2	0.5277255	1.048393904	0.6	0.963
MOCS3	0.869252	1.03252557	0.389	0.919
MOG	-0.5059169	0.986366563	0.615	0.964
MOGAT1	-0.5183968	0.970713667	0.606	0.964
MOGAT2	-0.2954897	0.989236989	0.769	0.98
MOGAT3	-0.7896574	0.967984673	0.433	0.931
MOGS	0.6563475	1.064968649	0.515	0.947
MOK	-0.2911531	0.986252146	0.772	0.981
MON1B	-0.7295283	0.954136837	0.469	0.941
MON2	1.1172377	1.063436699	0.269	0.889
MORC1	0.032597	1.000802203	0.974	0.998
MORC2	0.9906555	1.089673739	0.327	0.903
MORC3	0.8465232	1.07249459	0.401	0.923
MORC4	-0.8470222	0.943420915	0.401	0.923
MORF4L1	-0.6181936	0.974990597	0.539	0.951
MORF4L2	-1.1584122	0.924162907	0.252	0.885
MORN1	-0.8383593	0.974153342	0.406	0.923
MORN3	-1.0567915	0.950107051	0.296	0.896
MORN4	-0.1224482	0.995427121	0.903	0.996
MORN5	-0.9884612	0.960795361	0.328	0.904
MOS	-0.2280257	0.990597792	0.821	0.984
MOSMO	0.3327512	1.021324678	0.741	0.979
MOSPD1	-1.2360904	0.929451551	0.222	0.878
MOSPD3	-0.6108131	0.962964427	0.544	0.952
MOV10	3.4881929	1.283285544	0.00101	0.0898
MOV10L1	0.0360158	1.001357819	0.971	0.998
MOXD1	0.1478303	1.005377746	0.883	0.992
MPC1	-0.4156955	0.981243468	0.679	0.972
MPC2	-2.2447186	0.887097166	0.0292	0.567
MPDZ	-0.808881	0.978577895	0.422	0.928
MPG	-0.5045474	0.961136539	0.616	0.964
MPHOSPH6	0.0852495	1.005632242	0.932	0.998
MPHOSPH8	0.6623301	1.045933574	0.511	0.947
MPHOSPH9	0.2768912	1.019439197	0.783	0.982
MPI	0.3082448	1.015335317	0.759	0.98
MPIG6B	-0.6147415	0.976132597	0.541	0.952
MPL	-0.4988469	0.982252323	0.62	0.964
MPND	0.6222829	1.043662827	0.537	0.951
MPO	0.3773839	1.021869468	0.707	0.976
MPP1	0.9852095	1.067396777	0.329	0.905
MPP2	-0.3223262	0.987750133	0.749	0.979
MPP3	-0.22649	0.990141844	0.822	0.984
MPP4	-0.647155	0.983677146	0.52	0.949
MPP5	1.7164781	1.121249747	0.0921	0.766
MPP6	0.1109512	1.007922784	0.912	0.996
MPP7	-0.8288015	0.930966752	0.411	0.924
MPPED2	-1.3455622	0.946893194	0.184	0.864
MPST	-2.2438658	0.876740428	0.0292	0.568
MPV17	0.6856149	1.063727333	0.496	0.945
MPV17L2	-2.4473138	0.892466654	0.0179	0.47
MPZ	0.0211525	1.000956154	0.983	0.998
MPZL1	-1.2019748	0.911585214	0.235	0.883
MPZL2	-1.1407117	0.965368917	0.259	0.888
MPZL3	-3.8340345	0.746911781	0.000348	0.0406
MRAP	0.8990093	1.026891965	0.373	0.916
MRAP2	-0.2982312	0.988281493	0.767	0.98
MRAS	1.4979849	1.075956237	0.14	0.829
MRC2	-0.677592	0.966868324	0.501	0.946
MRE11	0.9778381	1.081411752	0.333	0.906
MRGBP	-1.1381172	0.926167277	0.26	0.888
MRGPRF	-1.0612404	0.953868113	0.294	0.896
MRGPRX2	-0.4609926	0.97899034	0.647	0.966
MRI1	-0.0980039	0.994373649	0.922	0.997
MRM1	-0.3586589	0.97751171	0.721	0.978
MRM2	-0.0370906	0.997299962	0.971	0.998
MRM3	-1.026313	0.933055912	0.31	0.899
MRO	-0.7732614	0.981037881	0.443	0.934
MROH1	-0.4470235	0.98855426	0.657	0.968
MROH2A	1.4495146	1.038419277	0.153	0.844
MROH2B	-0.4344457	0.987869099	0.666	0.971
MROH6	-0.7400394	0.964528725	0.463	0.94
MROH8	-1.8647386	0.947332333	0.068	0.719
MROH9	-0.2474121	0.990631272	0.806	0.983
MRPL1	1.814421	1.132579192	0.0755	0.737
MRPL10	-0.295504	0.9815366	0.769	0.98
MRPL11	-1.5622283	0.924020062	0.124	0.81
MRPL12	1.1381299	1.108646043	0.26	0.888
MRPL13	1.6880469	1.164903324	0.0975	0.775
MRPL14	1.6968134	1.109506631	0.0958	0.774
MRPL15	1.7617358	1.142400543	0.0841	0.753
MRPL16	0.6858992	1.037584023	0.496	0.945
MRPL17	0.6525991	1.042371129	0.517	0.947
MRPL18	1.022763	1.089632251	0.311	0.899
MRPL19	2.183822	1.20416899	0.0336	0.594
MRPL2	-0.4451088	0.977430853	0.658	0.969
MRPL20	1.0486873	1.029192922	0.299	0.897
MRPL21	-0.6663721	0.942946622	0.508	0.947
MRPL22	-1.1077159	0.923581353	0.273	0.889
MRPL23	-1.0706038	0.94154584	0.289	0.894
MRPL24	0.8050277	1.11741513	0.425	0.928
MRPL27	2.3179041	1.21653039	0.0245	0.532
MRPL28	-0.0959695	0.994520648	0.924	0.997
MRPL3	-0.5920075	0.967858274	0.556	0.956
MRPL32	-0.0428422	0.997632265	0.966	0.998
MRPL33	-2.1912844	0.868661222	0.033	0.592
MRPL34	-0.5169664	0.958658151	0.607	0.964
MRPL35	-0.049746	0.996960748	0.961	0.998
MRPL37	-1.2030912	0.937626324	0.234	0.883
MRPL38	0.2197305	1.017010377	0.827	0.985
MRPL39	-1.359522	0.884172329	0.18	0.862
MRPL4	0.2488269	1.016155238	0.804	0.982
MRPL40	0.2122242	1.016977612	0.833	0.986
MRPL41	-0.4828623	0.955894371	0.631	0.965
MRPL42	3.8903352	1.430681556	0.000291	0.035
MRPL43	0.261887	1.019748447	0.794	0.982
MRPL44	-0.6356954	0.954224127	0.528	0.95
MRPL46	-0.0043488	0.999751614	0.997	1
MRPL47	-0.3227443	0.970089156	0.748	0.979
MRPL48	0.0438371	1.003667364	0.965	0.998
MRPL50	-0.0983644	0.990400062	0.922	0.997
MRPL51	1.3276327	1.085504044	0.19	0.867
MRPL52	-0.3240291	0.964118049	0.747	0.979
MRPL53	-0.8286167	0.912161238	0.411	0.924
MRPL54	-0.0263388	0.997535258	0.979	0.998
MRPL55	-0.9423102	0.941149333	0.35	0.912
MRPL57	-0.1491682	0.991648556	0.882	0.992
MRPL58	0.242493	1.017632661	0.809	0.983
MRPL9	-2.009386	0.888683372	0.0498	0.657
MRPS10	-2.0202006	0.908284767	0.0486	0.653
MRPS11	-0.0931965	0.996598958	0.926	0.997
MRPS12	-0.5252849	0.975518799	0.602	0.964
MRPS15	-1.7601733	0.915868362	0.0844	0.753
MRPS16	-1.4703358	0.934754029	0.148	0.84
MRPS17	0.1562995	1.015047161	0.876	0.991
MRPS18A	0.5430179	1.027892777	0.589	0.962
MRPS18C	2.2629086	1.111595886	0.0279	0.554
MRPS18C	1.2596531	1.082557046	0.214	0.877
MRPS2	-0.5916949	0.955310767	0.557	0.956
MRPS21	-0.0625663	0.996308295	0.95	0.998
MRPS23	-0.519598	0.958664205	0.606	0.964
MRPS24	-1.2605686	0.947861411	0.213	0.877
MRPS26	-0.99906	0.931636985	0.322	0.902
MRPS27	-2.2394077	0.866907741	0.0295	0.57
MRPS28	1.8881125	1.202114602	0.0647	0.709
MRPS33	-0.607989	0.946509637	0.546	0.952
MRPS36	-0.0811999	0.99269919	0.936	0.998
MRPS7	0.3027887	1.01762517	0.763	0.98
MRPS9	0.3222586	1.024179892	0.749	0.979
MRRF	-0.7883724	0.972125109	0.434	0.931
MRTO4	0.1921257	1.009534651	0.848	0.987
MRVI1	0.6619014	1.035664828	0.511	0.947
MS4A12	-0.3149569	0.987210244	0.754	0.98
MS4A15	0.5466871	1.015766528	0.587	0.962
MS4A2	0.205542	1.011056037	0.838	0.986
MS4A3	-0.934137	0.888758421	0.355	0.912
MS4A4A	5.7477689	2.348173501	0.000000508	0.000148
MS4A5	-0.6529188	0.970567664	0.517	0.947
MS4A6A	1.7452278	1.206757046	0.087	0.754
MS4A7	3.6943457	1.508636243	0.000538	0.0572
MS4A8	-0.8283306	0.974142146	0.411	0.924
MSANTD1	-1.7760623	0.934157218	0.0817	0.75
MSANTD2	0.2721961	1.032405262	0.787	0.982
MSANTD4	0.1560805	1.005551429	0.877	0.991
MSC	0.1886749	1.01084096	0.851	0.988
MSH2	0.8504876	1.052615913	0.399	0.923
MSH3	0.1622788	1.008605607	0.872	0.99
MSH4	-0.6620407	0.978963265	0.511	0.947
MSH5	1.2577564	1.137416722	0.214	0.877
MSH6	0.5378195	1.01910586	0.593	0.962
MSI1	-1.2186929	0.934544048	0.229	0.882
MSL1	-0.7866976	0.934467562	0.435	0.931
MSL2	-1.1700956	0.871224071	0.247	0.883
MSLN	0.8121545	1.085115363	0.42	0.927
MSMB	-1.369721	0.970842345	0.177	0.858
MSMO1	-0.5530611	0.958741974	0.583	0.962
MSN	0.0115595	1.001034516	0.991	0.999
MSR1	2.8878539	1.098894457	0.00568	0.274
MSRA	0.245735	1.013522341	0.807	0.983
MSRB2	0.6641526	1.049307724	0.51	0.947
MSRB3	-0.1503991	0.994339656	0.881	0.991
MSS51	0.1720854	1.016580935	0.864	0.99
MST1	0.9076775	1.047431465	0.368	0.915
MST1R	-0.5441473	0.980055143	0.589	0.962
MSTN	-0.6803701	0.984459301	0.499	0.946
MSX1	0.344453	1.012097066	0.732	0.978
MSX2	-1.1573783	0.964854857	0.253	0.885
MT1F	0.8780154	1.084342637	0.384	0.918
MT1HL1	-0.4856065	0.964702941	0.629	0.965
MT1X	-0.5110547	0.959603716	0.612	0.964
MT2A	1.150129	1.080851363	0.255	0.886
MT4	0.1356771	1.007316716	0.893	0.993
MTA1	-1.3507858	0.946441146	0.183	0.864
MTA2	1.18377	1.060963026	0.242	0.883
MTA3	0.4953813	1.020796551	0.622	0.965
MTAP	-0.1463793	0.993856916	0.884	0.992
MTCH1	-0.7117265	0.956619596	0.48	0.943
MTCH2	-1.3144026	0.965266543	0.195	0.868
MTCP1	-1.4773104	0.926125492	0.146	0.837
MTDH	1.0070465	1.040608106	0.319	0.901
MTERF1	-1.0929976	0.919920893	0.28	0.892
MTERF2	-0.304867	0.977376709	0.762	0.98
MTERF3	-0.5503406	0.965556736	0.584	0.962
MTERF4	-0.4429956	0.977918696	0.66	0.969
MTF1	0.6010182	1.035256679	0.55	0.954
MTF2	-0.7015831	0.935523021	0.486	0.944
MTFMT	-1.3751246	0.92886099	0.175	0.858
MTFR1	-0.572569	0.914310872	0.569	0.96
MTFR1L	0.582706	1.021946081	0.563	0.957
MTFR2	1.6181301	1.066384983	0.112	0.8
MTG1	0.4414494	1.017766076	0.661	0.969
MTG2	0.3287317	1.012615821	0.744	0.979
MTHFD1	1.9620873	1.21870163	0.0552	0.673
MTHFD1L	0.1948573	1.01498363	0.846	0.987
MTHFD2	3.7048322	1.331877319	0.000521	0.0559
MTHFR	0.7014052	1.025433077	0.486	0.944
MTHFS	-2.5411251	0.883150777	0.0141	0.421
MTHFS	1.3332705	1.034877253	0.188	0.867
MTHFSD	-0.6771512	0.982765011	0.501	0.946
MTIF2	-0.2075975	0.987832247	0.836	0.986
MTIF3	0.1480926	1.007754077	0.883	0.992
MTMR1	-0.6912146	0.969486363	0.493	0.945
MTMR10	-1.1056084	0.955831859	0.274	0.889
MTMR11	0.8431607	1.077940121	0.403	0.923
MTMR12	-0.5188863	0.976457887	0.606	0.964
MTMR14	-0.6583475	0.951823144	0.513	0.947
MTMR2	1.7407795	1.086338084	0.0878	0.756
MTMR3	-2.715831	0.915442972	0.009	0.348
MTMR4	0.7331029	1.052181763	0.467	0.941
MTMR6	-0.2241725	0.980812126	0.824	0.984
MTMR7	-0.7312033	0.976937518	0.468	0.941
MTMR8	0.3236754	1.012547178	0.748	0.979
MTMR9	-0.7801641	0.944767885	0.439	0.932
MTNR1A	0.1127069	1.003454214	0.911	0.996
MTNR1B	-0.4119076	0.983063204	0.682	0.972
MTO1	1.2433138	1.084733243	0.219	0.878
MTOR	0.7497756	1.029095735	0.457	0.938
MTPAP	-2.0473341	0.845376861	0.0458	0.643
MTR	-0.4252115	0.9613006	0.672	0.972
MTREX	-1.4169825	0.938600009	0.163	0.848
MTRF1	-0.0428878	0.99729045	0.966	0.998
MTRR	0.9206567	1.052844848	0.362	0.914
MTSS1	2.1084353	1.090677063	0.0399	0.625
MTSS1L	-0.2447852	0.991088517	0.808	0.983
MTTP	0.9578302	1.02878974	0.343	0.91
MTURN	-0.2029495	0.978267901	0.84	0.986
MTUS1	-1.4567962	0.945563512	0.151	0.842
MTX2	0.639353	1.078996773	0.525	0.949
MTX3	-1.1781631	0.931618414	0.244	0.883
MUC1	0.3013672	1.012667713	0.764	0.98
MUC12	-1.1785439	0.955350657	0.244	0.883
MUC13	-0.3886471	0.98277059	0.699	0.974
MUC15	-0.3169613	0.990851143	0.753	0.98
MUC16	0.2826242	1.013500268	0.779	0.981
MUC17	-0.6389418	0.977335736	0.526	0.949
MUC4	-0.5127566	0.987813335	0.61	0.964
MUC5AC	-1.1300752	0.939500549	0.264	0.889
MUC5B	-1.1038812	0.952864356	0.275	0.89
MUC6	-0.5744496	0.976163024	0.568	0.959
MUC7	-0.16253	0.995607746	0.872	0.99
MUCL1	-0.3907257	0.977208949	0.698	0.974
MUL1	-1.6014467	0.926422566	0.115	0.803
MUM1	0.0036639	1.000205359	0.997	1
MUM1L1	1.3192239	1.02879598	0.193	0.867
MUS81	1.3848934	1.09527839	0.172	0.856
MUSK	-0.0755934	0.998141945	0.94	0.998
MUSTN1	1.9126604	1.085778642	0.0614	0.696
MUT	-0.294516	0.97954649	0.77	0.98
MUTYH	0.3874958	1.025594365	0.7	0.974
MVB12A	4.0327019	1.346883912	0.000185	0.0245
MVB12B	1.9999799	1.091255443	0.0508	0.657
MVD	-1.0381799	0.931718755	0.304	0.899
MVK	-0.8192744	0.966998368	0.416	0.926
MVP	-0.4715803	0.978853642	0.639	0.966
MX1	9.8120505	4.509778417	2.45E-13	9.83E-10
MX2	8.4292333	2.880081465	3.11E-11	3.47E-08
MXD1	0.5496725	1.07607998	0.585	0.962
MXRA5	-0.2937434	0.988967482	0.77	0.98
MXRA7	-0.0601878	0.995656006	0.952	0.998
MXRA8	-0.0669464	0.995752188	0.947	0.998
MYADM	-0.6834663	0.954873324	0.497	0.945
MYBBP1A	0.0009813	1.000036855	0.999	1
MYBL1	0.3115415	1.025248789	0.757	0.98
MYBL2	0.2850782	1.01556961	0.777	0.981
MYBPC2	0.5272022	1.026376049	0.6	0.963
MYBPC3	1.7038362	1.090895252	0.0945	0.771
MYBPH	-0.5568613	0.977854588	0.58	0.962
MYC	0.6188892	1.085232027	0.539	0.951
MYCBP	2.0894147	1.157342112	0.0417	0.634
MYCBP2	1.9745532	1.123026164	0.0537	0.669
MYCBPAP	-0.4139842	0.986416885	0.681	0.972
MYCL	1.1593611	1.045861447	0.252	0.884
MYCN	-2.0676766	0.920801348	0.0438	0.636
MYCT1	1.3094478	1.056557746	0.196	0.868
MYD88	4.2404462	1.390539869	0.0000939	0.0144
MYDGF	-0.3648637	0.978839387	0.717	0.978
MYEOV	0.3632786	1.021399424	0.718	0.978
MYF5	-1.9026313	0.941082058	0.0627	0.701
MYF6	-0.4649527	0.979522515	0.644	0.966
MYH10	0.0070094	1.000326775	0.994	0.999
MYH11	-1.3254671	0.95644202	0.191	0.867
MYH14	-0.1853431	0.992320642	0.854	0.988
MYH3	0.5429542	1.013429472	0.59	0.962
MYH6	0.1172977	1.002938526	0.907	0.996
MYH7B	0.8676957	1.035617429	0.39	0.919
MYH9	-0.549882	0.962873481	0.585	0.962
MYL1	-0.5704483	0.968784871	0.571	0.961
MYL10	-0.4687778	0.978249864	0.641	0.966
MYL2	-0.1863638	0.994316057	0.853	0.988
MYL3	-0.3241558	0.982717812	0.747	0.979
MYL4	0.170523	1.019752038	0.865	0.99
MYL5	-1.1550661	0.927758501	0.253	0.885
MYL6	-0.3576313	0.987444303	0.722	0.978
MYL6B	0.2457458	1.020871089	0.807	0.983
MYL7	-0.904564	0.959598561	0.37	0.916
MYL9	0.4979432	1.040540328	0.621	0.964
MYLIP	-2.0127026	0.870621836	0.0494	0.656
MYLK2	0.3399562	1.015563092	0.735	0.979
MYLK4	-1.5575231	0.902075787	0.126	0.81
MYLPF	-0.3420894	0.979302654	0.734	0.979
MYMX	0.6497014	1.035487968	0.519	0.948
MYNN	-0.6561533	0.955486364	0.515	0.947
MYO10	1.3222083	1.045112487	0.192	0.867
MYO15A	-2.3720078	0.911944803	0.0215	0.502
MYO18B	-1.1677727	0.958069108	0.248	0.883
MYO19	-0.2761055	0.989970623	0.784	0.982
MYO1A	-0.897288	0.962567201	0.374	0.916
MYO1B	-0.0375225	0.998855327	0.97	0.998
MYO1C	-0.2121819	0.988466988	0.833	0.986
MYO1F	-0.8216587	0.961487769	0.415	0.926
MYO1G	1.2684528	1.104225689	0.21	0.877
MYO5A	-0.306107	0.98498173	0.761	0.98
MYO6	-0.9550694	0.949104712	0.344	0.911
MYO7A	0.9776118	1.032920164	0.333	0.906
MYO9A	0.4230133	1.038572939	0.674	0.972
MYO9A	0.236728	1.015020046	0.814	0.984
MYO9B	-0.2785008	0.98218983	0.782	0.981
MYOC	-0.1370092	0.994152521	0.892	0.993
MYOCD	-1.2584905	0.950360784	0.214	0.877
MYOCD	-0.1516208	0.993249233	0.88	0.991
MYOD1	-1.2461345	0.936322084	0.218	0.878
MYOG	-0.6705179	0.949721849	0.506	0.947
MYOM1	-2.1591347	0.919223796	0.0356	0.605
MYOM2	0.3996918	1.107804558	0.691	0.973
MYOM3	-0.5841687	0.97436588	0.562	0.957
MYORG	-0.6355411	0.97435858	0.528	0.95
MYOT	-0.3474953	0.992467208	0.73	0.978
MYOZ1	-0.1012487	0.995179202	0.92	0.997
MYOZ3	-0.1671508	0.994155043	0.868	0.99
MYPN	0.0891959	1.004186496	0.929	0.997
MYPOP	0.6452716	1.031962681	0.522	0.949
MYRF	0.4091143	1.012169341	0.684	0.972
MYRFL	0.6626526	1.026646691	0.511	0.947
MYRIP	-1.124722	0.955225496	0.266	0.889
MYT1	-1.2087941	0.961992352	0.232	0.883
MYT1L	-0.3011746	0.991429396	0.765	0.98
MZB1	1.1787873	1.133075551	0.244	0.883
MZF1	-0.6667447	0.961440345	0.508	0.947
MZT1	-0.7445324	0.89933071	0.46	0.939
MZT2B	-1.4789154	0.850823986	0.145	0.836
N4BP1	2.5271859	1.126776929	0.0146	0.426
N4BP2L2	-1.6574319	0.908644162	0.104	0.785
N4BP3	-0.495927	0.978293187	0.622	0.965
NAA10	-0.2754757	0.984163413	0.784	0.982
NAA16	-1.8176805	0.872505844	0.075	0.736
NAA20	-1.1540226	0.936353535	0.254	0.885
NAA25	0.3325784	1.024901121	0.741	0.979
NAA30	-0.6270204	0.93440719	0.533	0.95
NAA35	-0.7816316	0.955421058	0.438	0.932
NAA38	-0.4786613	0.978404138	0.634	0.965
NAA40	-1.7713678	0.893115107	0.0825	0.752
NAA60	1.1282547	1.076113366	0.264	0.889
NAAA	0.9552683	1.071157407	0.344	0.911
NAALAD2	-0.7443435	0.921453373	0.46	0.939
NAALAD2	0.5022405	1.013566741	0.618	0.964
NAALADL1	-0.4850624	0.980145456	0.63	0.965
NAALADL2	0.1266054	1.005954247	0.9	0.995
NAB2	1.3558608	1.06103565	0.181	0.863
NABP1	0.4414061	1.080041995	0.661	0.969
NABP2	0.9898772	1.044266233	0.327	0.903
NACAD	-1.3841356	0.950627525	0.172	0.856
NACC1	-2.1415867	0.906270394	0.037	0.611
NACC2	0.9931701	1.071573531	0.325	0.903
NADK2	-0.3482755	0.975060161	0.729	0.978
NADSYN1	-0.4065519	0.978502485	0.686	0.972
NAE1	-0.7213297	0.970747519	0.474	0.943
NAF1	-0.8670736	0.948555524	0.39	0.919
NAGA	2.3636251	1.238100271	0.0219	0.506
NAGK	3.4145896	1.276262561	0.00126	0.106
NAGLU	0.3994059	1.016131728	0.691	0.973
NAGPA	1.4720024	1.091528409	0.147	0.839
NAGS	1.8318131	1.064670451	0.0728	0.732
NAIF1	-1.0916537	0.93268957	0.28	0.892
NALCN	0.3128686	1.00826087	0.756	0.98
NAMPT	0.3951675	1.073194674	0.694	0.973
NANOS1	-0.7860971	0.977934219	0.435	0.931
NANOS2	-1.3695279	0.937755387	0.177	0.858
NANOS3	-0.7403665	0.963274173	0.462	0.94
NANS	0.94271	1.066736121	0.35	0.912
NAP1L1	-1.4593513	0.912399366	0.151	0.842
NAP1L2	-1.3005032	0.858897996	0.199	0.87
NAP1L3	-0.8459199	0.919642656	0.402	0.923
NAP1L5	-2.0532419	0.782959702	0.0452	0.639
NAPA	3.2278492	1.474073161	0.00218	0.151
NAPB	-0.1719859	0.984809606	0.864	0.99
NAPEPLD	0.6104743	1.05773575	0.544	0.952
NAPG	0.4956468	1.030088513	0.622	0.965
NAPRT	1.53295	1.170285517	0.131	0.815
NAPSA	-0.7239706	0.965322787	0.472	0.942
NARF	-2.9597787	0.841084445	0.00466	0.245
NARFL	-0.2490704	0.987011637	0.804	0.982
NARS	0.171567	1.008652966	0.864	0.99
NARS2	0.1307017	1.010544939	0.897	0.994
NASP	1.3160663	1.073689276	0.194	0.868
NAT1	1.8640278	1.155857471	0.0681	0.719
NAT10	-1.0737766	0.945776696	0.288	0.894
NAT14	-1.4271264	0.940021937	0.16	0.846
NAT16	-0.6526358	0.974476142	0.517	0.947
NAT2	-0.0276759	0.998941792	0.978	0.998
NAT8	-0.0302056	0.998995345	0.976	0.998
NAT8L	-1.6283143	0.949641626	0.11	0.794
NAT9	0.2602776	1.011892703	0.796	0.982
NAV1	-0.4071241	0.989766803	0.686	0.972
NAV2	-2.4011851	0.932240749	0.02	0.49
NAXD	-1.3146222	0.9223512	0.195	0.868
NAXE	-0.1443232	0.991842094	0.886	0.992
NBAS	1.0902406	1.054429757	0.281	0.892
NBEA	-1.5039053	0.892836604	0.139	0.826
NBEAL2	-0.1318537	0.989552043	0.896	0.994
NBN	1.3383741	1.089529493	0.187	0.866
NCALD	0.6435911	1.029107605	0.523	0.949
NCAM1	-0.6399837	0.985749125	0.525	0.949
NCAM2	0.353456	1.00736104	0.725	0.978
NCAN	-0.2171527	0.989850732	0.829	0.985
NCAPD2	1.1614187	1.15303812	0.251	0.883
NCAPD3	-0.5448994	0.975493564	0.588	0.962
NCAPG	2.504087	1.11250702	0.0155	0.44
NCAPG2	1.7309018	1.153815029	0.0895	0.758
NCAPH	2.2116928	1.092398395	0.0315	0.586
NCBP1	-0.0167962	0.998911596	0.987	0.999
NCBP2	0.1412284	1.009494346	0.888	0.993
NCBP3	-0.7410414	0.958033826	0.462	0.94
NCDN	-0.6001293	0.981378568	0.551	0.954
NCEH1	0.1372772	1.013912075	0.891	0.993
NCF2	0.2082335	1.018441074	0.836	0.986
NCF4	-0.3590708	0.95944313	0.721	0.978
NCK1	-1.6554478	0.923562756	0.104	0.785
NCK1	0.0690412	1.004525634	0.945	0.998
NCKAP1	1.1229005	1.119731112	0.267	0.889
NCKAP1L	0.9297941	1.115567021	0.357	0.912
NCL	-1.9335886	0.929448407	0.0587	0.688
NCOA2	-0.0655893	0.997074348	0.948	0.998
NCOA4	-0.9135577	0.954634261	0.365	0.915
NCOA6	1.3702345	1.098106514	0.177	0.858
NCOA7	4.441005	1.18745913	0.0000482	0.00826
NCOR1	-1.6633556	0.890746435	0.102	0.785
NCOR2	-0.5878365	0.97112133	0.559	0.957
NCR1	-0.1715526	0.993481887	0.864	0.99
NCR2	0.4333154	1.014927793	0.667	0.971
NCR3	0.270131	1.025663927	0.788	0.982
NCS1	0.0961879	1.004954024	0.924	0.997
NCSTN	-0.6831181	0.957766294	0.498	0.945
NDC1	0.4849894	1.025589033	0.63	0.965
NDC80	2.5689046	1.338906503	0.0132	0.409
NDEL1	-1.4732427	0.843334436	0.147	0.838
NDFIP1	-0.9732554	0.943265816	0.335	0.907
NDFIP2	-0.6147359	0.963509656	0.541	0.952
NDN	-0.4172715	0.97428806	0.678	0.972
NDOR1	0.2087489	1.011380684	0.835	0.986
NDP	-1.7094457	0.954046553	0.0934	0.769
NDRG1	-1.2640093	0.844402526	0.212	0.877
NDRG1	-0.8012889	0.94306595	0.427	0.928
NDRG2	-0.8901366	0.958656922	0.378	0.917
NDRG3	-0.641648	0.970088424	0.524	0.949
NDST1	-0.3545581	0.987494488	0.724	0.978
NDST3	-0.9924127	0.968488216	0.326	0.903
NDST4	-0.4315434	0.981394234	0.668	0.971
NDUFA1	-0.631519	0.96329182	0.531	0.95
NDUFA10	-1.600499	0.940684521	0.116	0.803
NDUFA11	0.0503764	1.003694524	0.96	0.998
NDUFA12	-0.3817563	0.979114502	0.704	0.974
NDUFA13	0.1128137	1.00944778	0.911	0.996
NDUFA2	-1.0213197	0.909906418	0.312	0.899
NDUFA3	0.129798	1.012716856	0.897	0.994
NDUFA4	-1.9477212	0.885490209	0.057	0.68
NDUFA4L2	-1.272461	0.925633498	0.209	0.877
NDUFA5	0.2211313	1.018143307	0.826	0.984
NDUFA6	0.5065159	1.025843049	0.615	0.964
NDUFA7	-0.3026628	0.979206045	0.763	0.98
NDUFA8	1.2436569	1.118946687	0.219	0.878
NDUFA9	1.3442672	1.07934836	0.185	0.864
NDUFAB1	-0.5807283	0.963192191	0.564	0.958
NDUFAF1	1.9848962	1.328622554	0.0525	0.665
NDUFAF3	0.5778586	1.023466003	0.566	0.959
NDUFAF5	-1.1332712	0.90696855	0.262	0.889
NDUFAF7	-0.5382434	0.960507351	0.593	0.962
NDUFAF8	-0.7942456	0.959689218	0.431	0.93
NDUFB1	-0.5134821	0.958933416	0.61	0.964
NDUFB10	-0.9944737	0.93815696	0.325	0.902
NDUFB11	-0.9607282	0.927720412	0.341	0.909
NDUFB3	1.4069894	1.088594853	0.165	0.85
NDUFB6	0.1343398	1.009323151	0.894	0.993
NDUFB7	0.0321624	1.003923473	0.974	0.998
NDUFB9	-1.1825642	0.920360658	0.242	0.883
NDUFC1	-0.7303738	0.975635616	0.469	0.941
NDUFC2	-1.8432767	0.927652625	0.0711	0.729
NDUFS1	-0.1608171	0.9929168	0.873	0.99
NDUFS2	-0.5413221	0.969813317	0.591	0.962
NDUFS3	-2.2035767	0.90906093	0.0321	0.591
NDUFS4	-0.2403109	0.98656794	0.811	0.984
NDUFS5	-1.7284518	0.875794473	0.09	0.76
NDUFS6	-0.0687778	0.996452362	0.945	0.998
NDUFS7	0.4667236	1.029855703	0.643	0.966
NDUFS8	-0.7998251	0.941477734	0.428	0.928
NDUFV1	-0.9633407	0.935820878	0.34	0.909
